"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-24","0.45","3.6","0.0",,"39","30",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-25","0.03","0.3","0.8",,"30","21",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-26","0.00","0.0","0.8",,"31","15",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-27","0.00","0.0","0.4",,"47","26",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-28","0.00","0.0","0.0",,"36","23",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-29","0.31","2.7","0.0",,"34","29",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-01","0.11","1.4","1.2",,"39","30",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-02","0.23","0.0","0.0",,"44","33",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-03","0.01","0.1","0.0",,"45","30",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-04","0.00","0.0","0.0",,"30","7",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-05","0.00","0.0","0.0",,"26","6",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-06","0.00","0.0","0.0",,"38","14",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-07","0.00","0.0","0.0",,"62","28",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-08","0.09","0.0","0.0",,"57","30",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-09","0.06","0.9","0.0",,"36","19",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-10","0.00","0.0","0.0",,"33","13",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-11","0.00","0.0","0.0",,"63","31",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-12","0.16","0.0","0.0",,"58","33",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-13","0.00","0.0","0.0",,"63","39",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-14","0.00","0.0","0.0",,"62","34",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-15","0.07","0.0","0.0",,"67","42",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-16","0.00","0.0","0.0",,"66","44",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-17","0.00","0.0","0.0",,"49","41",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-18","0.00","0.0","0.0",,"72","40",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-19","0.00","0.0","0.0",,"74","49",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-20","0.00","0.0","0.0",,"74","48",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-21","0.00","0.0","0.0",,"76","49",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-22","0.00","0.0","0.0",,"79","48",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-23","0.20","0.0","0.0",,"61","52",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-24","0.00","0.0","0.0",,"56","45",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-25","0.00","0.0","0.0",,"64","40",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-26","0.00","0.0","0.0",,"41","27",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-27","0.01","0.0","0.0",,"41","20",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-28","0.00","0.0","0.0",,"64","36",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-29","0.00","0.0","0.0",,"39","27",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-30","0.01","0.1","0.0",,"41","24",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-31","0.00","0.0","0.0",,"50","31",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-01","0.09","0.1","0.0",,"43","35",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-02","0.00","0.0","0.0",,"53","33",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-03","0.00","0.0","0.0",,"52","29",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-04","0.00","0.0","0.0",,"51","36",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-05","0.00","0.0","0.0",,"47","32",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-06","0.00","0.0","0.0",,"52","32",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-07","0.00","0.0","0.0",,"58","33",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-08","0.01","0.0","0.0",,"62","33",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-09","0.00","0.0","0.0",,"54","36",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-10","0.08","0.0","0.0",,"44","36",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-11","0.00","0.0","0.0",,"50","36",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-12","0.00","0.0","0.0",,"54","33",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-13","0.00","0.0","0.0",,"61","32",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-14","0.01","0.0","0.0",,"62","34",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-15","0.01","0.0","0.0",,"62","53",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-16","0.00","0.0","0.0",,"78","47",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-17","0.00","0.0","0.0",,"51","30",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-18","0.00","0.0","0.0",,"50","28",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-19","0.00","0.0","0.0",,"72","37",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-20","0.20","0.0","0.0",,"69","40",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-21","0.22","0.0","0.0",,"46","38",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-22","0.00","0.0","0.0",,"53","37",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-23","0.42","0.1","0.0",,"44","34",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-24","0.19","1.2","0.0",,"42","34",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-25","0.00","0.0","0.0",,"56","34",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-26","0.08","0.0","0.0",,"48","34",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-27","0.00","0.0","0.0",,"44","32",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-28","0.00","0.0","0.0",,"52","26",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-29","0.00","0.0","0.0",,"56","28",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-30","0.38","0.0","0.0",,"48","31",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-01","0.00","0.0","0.0",,"58","42",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-02","0.02","0.0","0.0",,"60","40",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-03","0.75","0.0","0.0",,"69","46",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-04","0.00","0.0","0.0",,"71","51",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-05","0.00","0.0","0.0",,"64","43",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-06","0.00","0.0","0.0",,"67","40",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-07","0.02","0.0","0.0",,"62","53",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-08","0.26","0.0","0.0",,"62","52",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-09","0.22","0.0","0.0",,"69","46",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-10","0.00","0.0","0.0",,"58","44",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-11","0.00","0.0","0.0",,"70","42",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-12","0.00","0.0","0.0",,"80","44",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-13","0.09","0.0","0.0",,"69","50",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-14","0.00","0.0","0.0",,"72","48",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-15","0.00","0.0","0.0",,"76","46",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-16","0.06","0.0","0.0",,"62","42",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-17","0.00","0.0","0.0",,"65","38",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-18","0.00","0.0","0.0",,"70","40",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-19","0.00","0.0","0.0",,"84","45",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-20","0.00","0.0","0.0",,"83","51",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-21","0.00","0.0","0.0",,"80","56",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-22","0.00","0.0","0.0",,"76","55",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-23","0.05","0.0","0.0",,"75","59",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-24","0.00","0.0","0.0",,"79","58",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-25","0.00","0.0","0.0",,"88","60",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-26","0.00","0.0","0.0",,"79","58",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-27","0.00","0.0","0.0",,"76","57",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-28","0.01","0.0","0.0",,"90","56",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-29","0.00","0.0","0.0",,"85","63",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-30","0.00","0.0","0.0",,"73","52",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-05-31","0.00","0.0","0.0",,"66","46",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-01","1.45","0.0","0.0",,"59","49",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-02","0.09","0.0","0.0",,"62","52",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-03","0.07","0.0","0.0",,"64","51",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-04","0.00","0.0","0.0",,"61","50",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-05","0.00","0.0","0.0",,"72","49",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-06","0.09","0.0","0.0",,"76","53",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-07","0.00","0.0","0.0",,"80","50",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-08","0.02","0.0","0.0",,"82","58",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-09","0.14","0.0","0.0",,"78","63",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-10","0.00","0.0","0.0",,"87","59",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-11","0.39","0.0","0.0",,"85","61",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-12","0.17","0.0","0.0",,"81","51",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-13","0.00","0.0","0.0",,"69","51",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-14","0.00","0.0","0.0",,"72","51",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-15","0.00","0.0","0.0",,"80","51",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-16","0.00","0.0","0.0",,"83","59",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-17","0.09","0.0","0.0",,"78","63",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-18","0.00","0.0","0.0",,"81","68",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-19","0.02","0.0","0.0",,"94","70",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-20","0.00","0.0","0.0",,"94","74",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-21","1.09","0.0","0.0",,"95","67",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-22","0.00","0.0","0.0",,"79","60",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-23","0.00","0.0","0.0",,"80","58",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-24","0.28","0.0","0.0",,"76","61",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-25","0.00","0.0","0.0",,"68","56",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-26","0.00","0.0","0.0",,"78","55",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-27","0.00","0.0","0.0",,"78","59",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-28","0.00","0.0","0.0",,"87","59",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-29","0.00","0.0","0.0",,"90","65",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-06-30","0.00","0.0","0.0",,"91","62",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-01","0.00","0.0","0.0",,"86","63",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-02","0.00","0.0","0.0",,"88","58",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-03","0.00","0.0","0.0",,"84","60",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-04","0.00","0.0","0.0",,"96","65",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-05","0.00","0.0","0.0",,"83","66",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-06","0.00","0.0","0.0",,"95","67",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-07","0.31","0.0","0.0",,"81","66",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-08","0.00","0.0","0.0",,"83","63",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-09","0.10","0.0","0.0",,"78","58",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-10","0.00","0.0","0.0",,"83","60",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-11","0.00","0.0","0.0",,"83","60",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-12","0.00","0.0","0.0",,"90","56",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-13","0.00","0.0","0.0",,"92","62",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-14","0.00","0.0","0.0",,"89","69",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-15","0.47","0.0","0.0",,"85","69",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-16","0.00","0.0","0.0",,"92","68",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-17","0.00","0.0","0.0",,"98","72",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-18","0.00","0.0","0.0",,"85","66",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-19","0.00","0.0","0.0",,"75","62",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-20","0.02","0.0","0.0",,"80","59",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-21","0.00","0.0","0.0",,"82","54",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-22","0.76","0.0","0.0",,"89","69",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-23","0.27","0.0","0.0",,"94","67",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-24","0.00","0.0","0.0",,"80","64",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-25","1.08","0.0","0.0",,"82","58",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-26","0.65","0.0","0.0",,"76","64",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-27","0.00","0.0","0.0",,"79","65",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-28","0.00","0.0","0.0",,"83","66",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-29","0.00","0.0","0.0",,"84","61",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-30","0.00","0.0","0.0",,"85","61",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-07-31","1.80","0.0","0.0",,"82","64",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-01","0.00","0.0","0.0",,"81","61",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-02","0.00","0.0","0.0",,"83","59",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-03","0.00","0.0","0.0",,"86","67",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-04","0.22","0.0","0.0",,"89","69",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-05","0.06","0.0","0.0",,"82","62",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-06","0.00","0.0","0.0",,"80","58",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-07","0.00","0.0","0.0",,"86","56",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-08","0.00","0.0","0.0",,"86","67",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-09","0.31","0.0","0.0",,"70","63",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-10","0.81","0.0","0.0",,"73","63",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-11","0.43","0.0","0.0",,"70","62",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-12","0.00","0.0","0.0",,"76","60",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-13","0.14","0.0","0.0",,"82","64",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-14","0.00","0.0","0.0",,"72","59",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-08-15","0.13","0.0","0.0",,"82","56",,
